Timestamp,Discharge_m3_s,Sediment_g_L,Sediment_tonne_day,Column1
11-06-1988 08:00,20,0.051,88.128,FALSE
12-06-1988 08:00,20,0.051,88.128,FALSE
19-06-1988 08:00,13,0.014,15.7248,FALSE
26-06-1988 08:00,44,0.0304,115.56864,FALSE
03-07-1988 08:00,44,0.0298,113.28768,FALSE
10-07-1988 08:00,60.5,0.07,365.904,FALSE
18-07-1988 08:00,725,0.3543,22193.352,FALSE
19-07-1988 08:00,441,0.2016,7681.44384,FALSE
24-07-1988 08:00,310,0.1233,3302.4672,FALSE
25-07-1988 08:00,219,0.0814,1540.21824,FALSE
31-07-1988 08:00,130,0.0389,436.9248,FALSE
07-08-1988 08:00,215,0.062,1151.712,FALSE
14-08-1988 08:00,94,0.02,162.432,FALSE
15-08-1988 08:00,110,0.043,408.672,FALSE
21-08-1988 08:00,206,0.06,1067.904,FALSE
24-08-1988 08:00,199,0.038,653.3568,FALSE
26-08-1988 08:00,161,0.024,333.8496,FALSE
28-08-1988 08:00,120,0.025,259.2,FALSE
04-09-1988 08:00,169,0.06685,976.11696,FALSE
10-09-1988 08:00,99,0.022,188.1792,FALSE
11-09-1988 08:00,84,0.025,181.44,FALSE
12-09-1988 08:00,121,0.026,271.8144,FALSE
17-09-1988 08:00,68,0.018,105.7536,FALSE
18-09-1988 08:00,110,0.042,399.168,FALSE
25-09-1988 08:00,120,0.049,508.032,FALSE
02-10-1988 08:00,105,0.043,390.096,FALSE
09-10-1988 08:00,70,0.018,108.864,FALSE
16-10-1988 08:00,48,0.015,62.208,FALSE
20-10-1988 08:00,40,0.018,62.208,FALSE
23-10-1988 08:00,36,0.018,55.9872,FALSE
30-10-1988 08:00,31,0.018,48.2112,FALSE
06-11-1988 08:00,26.5,0.017,38.9232,FALSE
07-11-1988 08:00,26,0.0199,44.70336,FALSE
08-11-1988 08:00,29,0.018,45.1008,FALSE
13-11-1988 08:00,22,0.015,28.512,FALSE
14-11-1988 08:00,21,0.014,25.4016,FALSE
20-11-1988 08:00,17,0.016,23.5008,FALSE
23-11-1988 08:00,16,0.01,13.824,FALSE
27-11-1988 08:00,13,0.016,17.9712,FALSE
04-12-1988 08:00,10.2,0.017,14.98176,FALSE
11-12-1988 08:00,7.6,0.0202,13.264128,FALSE
18-12-1988 08:00,12.5,0.0242,26.136,FALSE
25-12-1988 08:00,6.4,0.0092,5.087232,FALSE
01-01-1989 08:00,4.8,0.008,3.31776,FALSE
08-01-1989 08:00,3.9,0.0157,5.290272,FALSE
15-01-1989 08:00,3.5,0.018,5.4432,FALSE
20-01-1989 08:00,3.1,0.0158,4.231872,FALSE
21-01-1989 08:00,2.9,0.0144,3.608064,FALSE
22-01-1989 08:00,2.8,0.0131,3.169152,FALSE
26-01-1989 08:00,2.7,0.0136,3.172608,FALSE
29-01-1989 08:00,2.5,0.0118,2.5488,FALSE
05-02-1989 08:00,1.8,0.0128,1.990656,FALSE
12-02-1989 08:00,1.4,0.0135,1.63296,FALSE
19-02-1989 08:00,2.2,0.011,2.09088,FALSE
26-02-1989 08:00,1.5,0.0154,1.99584,FALSE
05-03-1989 08:00,0.9,0.0177,1.376352,FALSE
06-03-1989 08:00,0.825,0.0164,1.168992,FALSE
12-03-1989 08:00,0.1,0,0,TRUE
09-04-1989 08:00,1.7,0.0278,4.083264,FALSE
14-04-1989 08:00,0.8,0.0224,1.548288,FALSE
16-04-1989 08:00,0.65,0.0204,1.145664,FALSE
17-04-1989 08:00,0.5,0.0204,0.88128,FALSE
18-04-1989 08:00,0.4,0.0203,0.701568,FALSE
30-04-1989 08:00,1.175,0.0208,2.111616,FALSE
07-05-1989 08:00,0.5,0.0366,1.58112,FALSE
08-05-1989 08:00,0.7,0.0347,2.098656,FALSE
09-05-1989 08:00,1,0.0325,2.808,FALSE
14-05-1989 08:00,0.9,0.0283,2.200608,FALSE
20-05-1989 08:00,0.4,0.028,0.96768,FALSE
21-05-1989 08:00,0.3,0.0295,0.76464,FALSE
28-05-1989 08:00,0.75,0.0239,1.54872,FALSE
04-06-1989 08:00,3.5,0.0292,8.83008,FALSE
11-06-1989 08:00,46,0.0383,152.21952,FALSE
18-06-1989 08:00,92,0.041,325.9008,FALSE
25-06-1989 08:00,52,0.0214,96.14592,FALSE
02-07-1989 08:00,102.5,0.0668,591.5808,FALSE
09-07-1989 08:00,60,0.0482,249.8688,FALSE
14-07-1989 08:00,66.5,0.0281,161.45136,FALSE
16-07-1989 08:00,66,0.0301,171.64224,FALSE
23-07-1989 08:00,852.5,0.27,19887.12,FALSE
28-07-1989 08:00,520,0.1126,5058.8928,FALSE
30-07-1989 08:00,225,0.069,1341.36,FALSE
13-08-1989 08:00,322.5,0.13,3622.32,FALSE
24-08-1989 09:00,217.5,0.0497,933.9624,FALSE
03-09-1989 08:00,155,0.04,535.68,FALSE
10-09-1989 08:00,72.5,0.015,93.96,FALSE
12-09-1989 08:00,70,0.0147,88.9056,FALSE
17-09-1989 08:00,55,0.0203,96.4656,FALSE
24-09-1989 08:00,127.5,0.0448,493.5168,FALSE
01-10-1989 08:00,120,0.052,539.136,FALSE
02-10-1989 08:00,82.5,0.037,263.736,FALSE
08-10-1989 08:00,465,0.985128,39578.50253,FALSE
10-10-1989 08:00,152.5,0.07,922.32,FALSE
15-10-1989 08:00,92,0.054,429.2352,FALSE
22-10-1989 08:00,66.5,0.03,172.368,FALSE
28-10-1989 08:00,87.5,0.038,287.28,FALSE
29-10-1989 08:00,80,0.037,255.744,FALSE
05-11-1989 08:00,140,0.059,713.664,FALSE
06-11-1989 08:00,127.5,0.053,583.848,FALSE
12-11-1989 08:00,36,0.0165,51.3216,FALSE
13-11-1989 08:00,30,0.0145,37.584,FALSE
14-11-1989 08:00,80,0.036,248.832,FALSE
19-11-1989 08:00,26,0.014,31.4496,FALSE
22-11-1989 08:00,22.5,0.0123,23.9112,FALSE
26-11-1989 08:00,17.5,0.011,16.632,FALSE
01-12-1989 09:00,18.5,0.013751251,21.9799996,FALSE
02-12-1989 09:00,18,0.0137,21.30624,FALSE
03-12-1989 08:00,17.25,0.0158,23.54832,FALSE
07-12-1989 09:00,15.5,0.0133,17.81136,FALSE
10-12-1989 08:00,14.25,0.014,17.2368,FALSE
17-12-1989 08:00,11,0.0118,11.21472,FALSE
24-12-1989 08:00,9.5,0.0131,10.75248,FALSE
25-12-1989 08:00,9.5,0.0139,11.40912,FALSE
31-12-1989 08:00,8.75,0.0137,10.3572,FALSE
07-01-1990 08:00,8.3,0.0146,10.469952,FALSE
14-01-1990 08:00,6.85,0.016,9.46944,FALSE
21-01-1990 08:00,5.125,0.0125,5.535,FALSE
26-01-1990 08:00,4.3,0.0144,5.349888,FALSE
28-01-1990 08:00,3.9,0.0167,5.627232,FALSE
04-02-1990 08:00,2.75,0.0145,3.4452,FALSE
11-02-1990 08:00,1.25,0.0128,1.3824,FALSE
18-02-1990 08:00,1,0.0171,1.47744,FALSE
23-02-1990 08:00,0.875,0.0149,1.12644,FALSE
25-02-1990 08:00,0.65,0.0155,0.87048,FALSE
