Timestamp,Discharge_m3_s,Sediment_g_L,Sediment_tonne_day,Column1
05-06-1988 08:00,22.5,0.042,81.648,FALSE
12-06-1988 08:00,42.7,0.025,92.232,FALSE
19-06-1988 08:00,20,0.013,22.464,FALSE
24-06-1988 08:00,34.5,0.035,104.328,FALSE
26-06-1988 08:00,35.5,0.023,70.5456,FALSE
03-07-1988 08:00,90,0.09,699.84,FALSE
10-07-1988 08:00,66,0.04,228.096,FALSE
17-07-1988 08:00,118.5,0.0614,628.63776,FALSE
24-07-1988 08:00,100,0.018,155.52,FALSE
25-07-1988 08:00,87,0.019,142.8192,FALSE
31-07-1988 08:00,51.5,0.018,80.0928,FALSE
07-08-1988 08:00,112,0.019,183.8592,FALSE
08-08-1988 08:00,81.5,0.015,105.624,FALSE
14-08-1988 08:00,39.5,0.014,47.7792,FALSE
15-08-1988 08:00,47,0.018,73.0944,FALSE
17-08-1988 08:00,206.5,0.0573,1022.32368,FALSE
21-08-1988 08:00,91.5,0.017,134.3952,FALSE
23-08-1988 08:00,66,0.015,85.536,FALSE
26-08-1988 08:00,100.5,0.036,312.5952,FALSE
28-08-1988 08:00,66,0.022,125.4528,FALSE
04-09-1988 08:00,150.5,0.038,494.1216,FALSE
09-09-1988 08:00,88,0.039,296.5248,FALSE
11-09-1988 08:00,85.5,0.03,221.616,FALSE
18-09-1988 08:00,130.8,0.069,779.77728,FALSE
25-09-1988 08:00,63.5,0.023,126.1872,FALSE
02-10-1988 08:00,42.5,0.017,62.424,FALSE
09-10-1988 08:00,23,0.018,35.7696,FALSE
16-10-1988 08:00,20,0.072,124.416,FALSE
20-10-1988 08:00,25,0.183,395.28,FALSE
23-10-1988 08:00,14.5,0.011,13.7808,FALSE
30-10-1988 08:00,15.5,0.016,21.4272,FALSE
06-11-1988 08:00,12.5,0.011,11.88,FALSE
08-11-1988 08:00,10.25,0.01,8.856,FALSE
13-11-1988 08:00,10,0.01,8.64,FALSE
14-11-1988 08:00,16,0.018,24.8832,FALSE
20-11-1988 08:00,18.5,0.024,38.3616,FALSE
23-11-1988 08:00,9,0.01,7.776,FALSE
27-11-1988 08:00,5.5,0.009,4.2768,FALSE
04-12-1988 08:00,3.85,0.0103,3.426192,FALSE
11-12-1988 08:00,4.3,0.016,5.94432,FALSE
18-12-1988 08:00,3.175,0.0104,2.852928,FALSE
25-12-1988 08:00,1.775,0.0145,2.22372,FALSE
01-01-1989 08:00,1.11,0.0077,0.7384608,FALSE
08-01-1989 08:00,0.8,0.0084,0.580608,FALSE
15-01-1989 08:00,0.475,0.0136,0.558144,FALSE
22-01-1989 08:00,0.4,0.0138,0.476928,FALSE
26-01-1989 08:00,0.35,0.0126,0.381024,FALSE
29-01-1989 08:00,0.35,0.012,0.36288,FALSE
05-02-1989 08:00,0.16,0.0065,0.089856,FALSE
12-02-1989 08:00,0.075,0.004,0.02592,FALSE
12-03-1989 08:00,3.4,0.0172,5.052672,FALSE
19-03-1989 08:00,0.21,0.013,0.235872,FALSE
24-03-1989 08:00,0.05,0.017,0.07344,FALSE
26-04-1989 08:00,4.3,0.0209,7.764768,FALSE
30-04-1989 08:00,2.975,0.0182,4.678128,FALSE
04-05-1989 08:00,2,0.023,3.9744,FALSE
06-05-1989 08:00,2,0.0205,3.5424,FALSE
07-05-1989 08:00,1.35,0.016,1.86624,FALSE
08-05-1989 08:00,2.125,0.012,2.2032,FALSE
09-05-1989 08:00,1.06,0.0093,0.8517312,FALSE
14-05-1989 08:00,1.06,0.0147,1.3462848,FALSE
21-05-1989 08:00,3.175,0.017,4.66344,FALSE
23-05-1989 08:00,4.25,0.0116,4.25952,FALSE
28-05-1989 08:00,6.5,0.015,8.424,FALSE
03-06-1989 08:00,21,0.018,32.6592,FALSE
04-06-1989 08:00,64,0.023,127.1808,FALSE
08-06-1989 08:00,45,0.028,108.864,FALSE
09-06-1989 08:00,50,0.039,168.48,FALSE
11-06-1989 08:00,83,0.05,358.56,FALSE
18-06-1989 08:00,75,0.027,174.96,FALSE
25-06-1989 08:00,118.5,0.038,389.0592,FALSE
02-07-1989 08:00,80,0.029,200.448,FALSE
05-07-1989 08:00,45.5,0.008,31.4496,FALSE
09-07-1989 08:00,53,0.02,91.584,FALSE
14-07-1989 08:00,78.5,0.029,196.6896,FALSE
16-07-1989 08:00,71,0.026,159.4944,FALSE
23-07-1989 08:00,276,0.08,1907.712,FALSE
29-07-1989 08:00,153.5,0.024,318.2976,FALSE
30-07-1989 08:00,100,0.035,302.4,FALSE
06-08-1989 08:00,89,0.031,238.3776,FALSE
13-08-1989 08:00,62.5,0.015,81,FALSE
15-08-1989 08:00,75,0.026,168.48,FALSE
20-08-1989 08:00,143,0.026,321.2352,FALSE
27-08-1989 08:00,42.5,0.009,33.048,FALSE
03-09-1989 08:00,57,0.072,354.5856,FALSE
10-09-1989 08:00,27.5,0.009,21.384,FALSE
12-09-1989 08:00,37,0.015,47.952,FALSE
17-09-1989 08:00,49,0.017,71.9712,FALSE
20-09-1989 08:00,385,0.1025,3409.56,FALSE
21-09-1989 08:00,238.5,0.031,638.7984,FALSE
22-09-1989 08:00,202.5,0.028,489.888,FALSE
24-09-1989 08:00,152,0.049,643.5072,FALSE
28-09-1989 08:00,99.5,0.023,197.7264,FALSE
01-10-1989 08:00,48,0.019,78.7968,FALSE
02-10-1989 08:00,43.5,0.009,33.8256,FALSE
08-10-1989 08:00,121,0.103,1076.8032,FALSE
09-10-1989 08:00,195.5,0.083,1401.9696,FALSE
10-10-1989 08:00,98.5,0.115,978.696,FALSE
15-10-1989 08:00,128,0.10228,1131.134976,FALSE
22-10-1989 08:00,133,0.103,1183.5936,FALSE
28-10-1989 08:00,43.5,0.076,285.6384,FALSE
