Timestamp,Discharge_m3_s,Sediment_g_L,Sediment_tonne_day,Column1
08-06-1986 08:00,14,0.019,22.9824,FALSE
09-06-1986 08:00,8,0.0072,4.97664,FALSE
15-06-1986 08:00,152,0.02213,290.628864,FALSE
30-06-1986 08:00,151.5,0.0128,167.54688,FALSE
15-08-1986 08:00,118,0.0106,108.06912,FALSE
31-08-1986 08:00,11,0.0021,1.99584,FALSE
15-09-1986 08:00,4,0.0029,1.00224,FALSE
12-10-1986 08:00,32,0.0014,3.87072,FALSE
19-10-1986 08:00,52,0.0354,159.04512,FALSE
26-10-1986 08:00,49,0.034,143.9424,FALSE
01-11-1986 08:00,183,0.0263,415.83456,FALSE
02-11-1986 08:00,270,0.0365,851.472,FALSE
16-11-1986 08:00,60,0.0209,108.3456,FALSE
23-11-1986 08:00,18,0.0032,4.97664,FALSE
30-11-1986 08:00,6.5,0.0036,2.02176,FALSE
07-12-1986 08:00,5,0.0023,0.9936,FALSE
14-12-1986 08:00,4.6,0.0025,0.9936,FALSE
21-12-1986 08:00,2.9,0.004,1.00224,FALSE
25-12-1986 08:00,2.1,0.0055,0.99792,FALSE
28-12-1986 08:00,2,0.0058,1.00224,FALSE
04-01-1987 08:00,1.2,0.0022,0.228096,FALSE
11-01-1987 08:00,1.1,0,0,TRUE
18-01-1987 08:00,0.6,0.0034,0.176256,FALSE
25-01-1987 08:00,0.2,0,0,TRUE
26-01-1987 08:00,0.2,0,0,TRUE
03-05-1987 08:00,6.5,0.0214,12.01824,FALSE
10-05-1987 08:00,0.8,0.0145,1.00224,FALSE
13-05-1987 08:00,0.6,0.0193,1.000512,FALSE
17-05-1987 08:00,3,0.0154,3.99168,FALSE
24-05-1987 08:00,22.8,0.0315,62.05248,FALSE
29-05-1987 08:00,14.1,0.0106,12.913344,FALSE
30-05-1987 08:00,26,0.021,47.1744,FALSE
31-05-1987 08:00,39,0.035,117.936,FALSE
07-06-1987 08:00,61.5,0.0164,87.14304,FALSE
