Timestamp,Discharge_m3_s,Sediment_g_L,Sediment_tonne_day,Column1
08-06-1986 08:00,33,0,0,TRUE
22-06-1986 08:00,75,0.0144,93.312,FALSE
27-07-1986 08:00,175,0.0136,205.632,FALSE
15-08-1986 08:00,375,0.0264,855.36,FALSE
31-08-1986 08:00,32.5,0.005,14.04,FALSE
15-09-1986 08:00,30,0.0139,36.0288,FALSE
05-10-1986 08:00,180,0.0207,321.9264,FALSE
12-10-1986 08:00,118,0.0298,303.81696,FALSE
19-10-1986 08:00,133,0.0654,751.52448,FALSE
26-10-1986 08:00,115,0.0193,191.7648,FALSE
01-11-1986 08:00,255,0.0931,2051.1792,FALSE
02-11-1986 08:00,450,0.088244,3430.92672,FALSE
07-11-1986 08:00,588,0.08364,4249.179648,FALSE
09-11-1986 08:00,438,0.0404,1528.86528,FALSE
06-12-1986 08:00,22.4,0.0035,6.77376,FALSE
07-12-1986 08:00,33,0.01015,28.93968,FALSE
14-12-1986 08:00,30.6,0.0084,22.208256,FALSE
21-12-1986 08:00,18.3,0.0044,6.956928,FALSE
25-12-1986 08:00,15.6,0.0029,3.908736,FALSE
04-01-1987 08:00,24.5,0.0056,11.85408,FALSE
11-01-1987 08:00,53,0.0184,84.25728,FALSE
18-01-1987 08:00,25.7,0.0073,16.209504,FALSE
25-01-1987 08:00,16.5,0.0042,5.98752,FALSE
26-01-1987 08:00,10.8,0.0025,2.3328,FALSE
01-02-1987 08:00,37,0.014,44.7552,FALSE
08-02-1987 08:00,6.6,0.0018,1.026432,FALSE
15-02-1987 08:00,7.3,0.0016,1.009152,FALSE
22-02-1987 08:00,7.3,0.0016,1.009152,FALSE
26-02-1987 08:00,10.8,0.0042,3.919104,FALSE
01-03-1987 08:00,10.8,0.0021,1.959552,FALSE
08-03-1987 08:00,14.1,0.0025,3.0456,FALSE
15-03-1987 08:00,17.4,0.004,6.01344,FALSE
22-03-1987 08:00,22.4,0.0052,10.063872,FALSE
29-03-1987 08:00,26.8,0.0043,9.956736,FALSE
31-03-1987 08:00,26.8,0.0043,9.956736,FALSE
01-04-1987 08:00,15.6,0.0018,2.426112,FALSE
03-04-1987 08:00,20.4,0.0034,5.992704,FALSE
04-04-1987 08:00,14.8,0.0024,3.068928,FALSE
05-04-1987 08:00,24.5,0.0057,12.06576,FALSE
06-04-1987 08:00,14.1,0.0036,4.385664,FALSE
08-04-1987 08:00,9.2,0.0024,1.907712,FALSE
09-04-1987 08:00,14.1,0.0033,4.020192,FALSE
12-04-1987 08:00,18.3,0.0025,3.9528,FALSE
15-04-1987 08:00,34.3,0.0101,29.931552,FALSE
16-04-1987 08:00,31.7,0.0095,26.01936,FALSE
17-04-1987 08:00,33,0.01,28.512,FALSE
19-04-1987 08:00,37,0.0116,37.08288,FALSE
22-04-1987 08:00,16.5,0.0018,2.56608,FALSE
25-04-1987 08:00,20.3,0.0039,6.840288,FALSE
26-04-1987 08:00,22.5,0.0061,11.8584,FALSE
27-04-1987 08:00,14.8,0.0064,8.183808,FALSE
28-04-1987 08:00,25.5,0.0042,9.25344,FALSE
29-04-1987 08:00,17.4,0.0063,9.471168,FALSE
30-04-1987 08:00,19.3,0.0034,5.669568,FALSE
03-05-1987 08:00,37,0.004,12.7872,FALSE
04-05-1987 08:00,17.4,0.0037,5.562432,FALSE
10-05-1987 08:00,37,0.004,12.7872,FALSE
11-05-1987 08:00,18.3,0.0018,2.846016,FALSE
