Timestamp,Discharge_m3_s,Sediment_g_L,Sediment_tonne_day,Column1
08-06-1986 08:00,2.5,0,0,TRUE
09-06-1986 08:00,3,0,0,TRUE
10-06-1986 08:00,2,0,0,TRUE
11-06-1986 08:00,4,0,0,TRUE
26-07-1986 08:00,282.5,0.0142,346.5936,FALSE
03-08-1986 08:00,185,0.0341,545.0544,FALSE
04-08-1986 08:00,130,0.0253,284.1696,FALSE
07-08-1986 08:00,730,0.1552,9788.7744,FALSE
08-08-1986 08:00,980,0.0951,8052.3072,FALSE
10-08-1986 08:00,615,0.228,12115.008,FALSE
11-08-1986 08:00,515,0.2049,9117.2304,FALSE
15-08-1986 08:00,450,0.0251,975.888,FALSE
24-08-1986 08:00,115,0.005,49.68,FALSE
27-08-1986 08:00,85,0.0022,16.1568,FALSE
31-08-1986 08:00,70,0.0078,47.1744,FALSE
14-09-1986 08:00,93.5,0.0079,63.81936,FALSE
15-09-1986 08:00,90,0.0077,59.8752,FALSE
21-09-1986 08:00,87.5,0.0077,58.212,FALSE
26-09-1986 08:00,320,0.0037,102.2976,FALSE
27-09-1986 08:00,230,0.0019,37.7568,FALSE
28-09-1986 08:00,10,0.0043,3.7152,FALSE
29-09-1986 08:00,210,0.0109,197.7696,FALSE
02-10-1986 08:00,127.5,0.0086,94.7376,FALSE
05-10-1986 08:00,117.5,0.0089,90.3528,FALSE
10-10-1986 08:00,55,0.01,47.52,FALSE
12-10-1986 08:00,250,0.015,324,FALSE
18-10-1986 08:00,30,0.00223,5.78016,FALSE
19-10-1986 08:00,50,0.003,12.96,FALSE
26-10-1986 08:00,45,0.0051,19.8288,FALSE
01-11-1986 08:00,70,0.0103,62.2944,FALSE
02-11-1986 08:00,125,0.0097,104.76,FALSE
09-11-1986 08:00,115,0.0091,90.4176,FALSE
16-11-1986 08:00,70,0.0043,26.0064,FALSE
21-11-1986 08:00,8.5,0.0015,1.1016,FALSE
22-11-1986 08:00,25,0.0012,2.592,FALSE
23-11-1986 08:00,36.5,0.0044,13.87584,FALSE
25-11-1986 08:00,11,0.0014,1.33056,FALSE
30-11-1986 08:00,7.5,0.0062,4.0176,FALSE
01-12-1986 08:00,9,0.0094,7.30944,FALSE
02-12-1986 08:00,6.5,0.0029,1.62864,FALSE
04-12-1986 08:00,6.5,0.0118,6.62688,FALSE
05-12-1986 08:00,8.6,0.0119,8.842176,FALSE
06-12-1986 08:00,6.5,0.0109,6.12144,FALSE
07-12-1986 08:00,42,0.0132,47.90016,FALSE
09-12-1986 08:00,6.4,0.0063,3.483648,FALSE
10-12-1986 08:00,6.5,0.0045,2.5272,FALSE
11-12-1986 08:00,6.5,0.0024,1.34784,FALSE
14-12-1986 08:00,6.5,0.0053,2.97648,FALSE
15-12-1986 08:00,6.5,0.0058,3.25728,FALSE
16-12-1986 08:00,6.7,0.0057,3.299616,FALSE
17-12-1986 08:00,6.4,0.0049,2.709504,FALSE
18-12-1986 08:00,6.4,0.0059,3.262464,FALSE
19-12-1986 08:00,6.5,0.0102,5.72832,FALSE
20-12-1986 08:00,6.4,0.0067,3.704832,FALSE
21-12-1986 08:00,6.3,0.0074,4.027968,FALSE
22-12-1986 08:00,6.4,0.0064,3.538944,FALSE
23-12-1986 08:00,6.5,0.0057,3.20112,FALSE
24-12-1986 08:00,6.4,0.0068,3.760128,FALSE
25-12-1986 08:00,6.2,0.0075,4.0176,FALSE
28-12-1986 08:00,7.6,0.0076,4.990464,FALSE
29-12-1986 08:00,7.2,0.0067,4.167936,FALSE
30-12-1986 08:00,6.4,0.0018,0.995328,FALSE
31-12-1986 08:00,6.4,0.0042,2.322432,FALSE
01-01-1987 08:00,6.4,0.0047,2.598912,FALSE
02-01-1987 08:00,6.4,0.0057,3.151872,FALSE
03-01-1987 08:00,6.4,0.0022,1.216512,FALSE
04-01-1987 08:00,5,0.0023,0.9936,FALSE
05-01-1987 08:00,6.4,0.0057,3.151872,FALSE
11-01-1987 08:00,6.2,0.0112,5.999616,FALSE
18-01-1987 08:00,5.7,0.0081,3.989088,FALSE
25-01-1987 08:00,5.5,0.0105,4.9896,FALSE
26-01-1987 08:00,5.5,0.0105,4.9896,FALSE
01-02-1987 08:00,5.2,0.0089,3.998592,FALSE
08-02-1987 08:00,5,0.0046,1.9872,FALSE
11-02-1987 08:00,5,0.0093,4.0176,FALSE
12-02-1987 08:00,5,0.0093,4.0176,FALSE
13-02-1987 08:00,5,0.0093,4.0176,FALSE
15-02-1987 08:00,5,0.0093,4.0176,FALSE
22-02-1987 08:00,4.8,0.0048,1.990656,FALSE
01-03-1987 08:00,4.7,0.0074,3.004992,FALSE
04-03-1987 08:00,16.7,0.0063,9.090144,FALSE
06-03-1987 08:00,12.6,0.0226,24.603264,FALSE
08-03-1987 08:00,4.5,0.0103,4.00464,FALSE
13-03-1987 08:00,4.7,0.0073,2.964384,FALSE
15-03-1987 08:00,2.3,0.0151,3.000672,FALSE
22-03-1987 08:00,1.1,0.021,1.99584,FALSE
29-03-1987 08:00,0.6,0.0193,1.000512,FALSE
05-04-1987 08:00,0.5,0.0231,0.99792,FALSE
