Timestamp,Discharge_m3_s,Sediment_g_L,Sediment_tonne_day,Column1
09-06-1980 08:00,76,0,0,TRUE
15-06-1980 08:00,15,0,0,TRUE
16-06-1980 08:00,19,0,0,TRUE
22-06-1980 08:00,125,0,0,TRUE
27-06-1980 08:00,172,0,0,TRUE
06-07-1980 08:00,148,0,0,TRUE
24-08-1980 08:00,64,0,0,TRUE
02-10-1980 08:00,93,0,0,TRUE
21-11-1980 08:00,42,0,0,TRUE
05-12-1980 08:00,13,0,0,TRUE
14-12-1980 08:00,41,0,0,TRUE
17-12-1980 08:00,15.4,0,0,TRUE
21-12-1980 08:00,11,0,0,TRUE
28-12-1980 08:00,8,0,0,TRUE
04-01-1981 08:00,7,0,0,TRUE
08-01-1981 08:00,5.4,0,0,TRUE
09-01-1981 08:00,5.2,0,0,TRUE
11-01-1981 08:00,4.6,0,0,TRUE
18-01-1981 08:00,3.2,0,0,TRUE
19-01-1981 08:00,3.1,0,0,TRUE
25-01-1981 08:00,2.5,0,0,TRUE
26-01-1981 08:00,2.7,0,0,TRUE
01-02-1981 08:00,2,0,0,TRUE
03-02-1981 08:00,2.4,0,0,TRUE
08-02-1981 08:00,1.9,0,0,TRUE
15-02-1981 08:00,1.2,0,0,TRUE
22-02-1981 08:00,0.6,0,0,TRUE
01-03-1981 08:00,0.5,0,0,TRUE
08-03-1981 08:00,0.3,0,0,TRUE
15-03-1981 08:00,0.4,0,0,TRUE
22-03-1981 08:00,0.6,0,0,TRUE
29-03-1981 08:00,2,0.0174,3.00672,FALSE
05-04-1981 08:00,0.8,0.0145,1.00224,FALSE
12-04-1981 08:00,1.1,0.021,1.99584,FALSE
14-04-1981 08:00,10,0.1808,156.2112,FALSE
16-04-1981 08:00,4,0.0253,8.74368,FALSE
17-04-1981 08:00,2.6,0.0223,5.009472,FALSE
19-04-1981 08:00,1.4,0.0083,1.003968,FALSE
26-04-1981 08:00,3,0.0309,8.00928,FALSE
01-05-1981 08:00,3.4,0.019,5.58144,FALSE
02-05-1981 08:00,3.5,0.0259,7.83216,FALSE
03-05-1981 08:00,2.7,0.03,6.9984,FALSE
04-05-1981 08:00,3.6,0.0151,4.696704,FALSE
05-05-1981 08:00,7.2,0.0406,25.256448,FALSE
06-05-1981 08:00,28.4,0.1293,317.271168,FALSE
07-05-1981 08:00,24.2,0.1545,323.04096,FALSE
08-05-1981 08:00,16.2,0.0323,45.209664,FALSE
09-05-1981 08:00,10.4,0.0277,24.890112,FALSE
10-05-1981 08:00,7.2,0.0354,22.021632,FALSE
11-05-1981 08:00,6.2,0.0188,10.070784,FALSE
12-05-1981 08:00,12.4,0.0412,44.140032,FALSE
13-05-1981 08:00,10.2,0.0684,60.279552,FALSE
14-05-1981 08:00,6,0.016,8.2944,FALSE
15-05-1981 08:00,4.4,0.0125,4.752,FALSE
16-05-1981 08:00,3.4,0.0091,2.673216,FALSE
17-05-1981 08:00,2.8,0.0124,2.999808,FALSE
18-05-1981 08:00,2.4,0.0125,2.592,FALSE
19-05-1981 08:00,2.5,0.0113,2.4408,FALSE
20-05-1981 08:00,2.2,0.0095,1.80576,FALSE
21-05-1981 08:00,2,0.0079,1.36512,FALSE
22-05-1981 08:00,1.8,0.01,1.5552,FALSE
23-05-1981 08:00,1.4,0.0102,1.233792,FALSE
24-05-1981 08:00,1.3,0.0089,0.999648,FALSE
31-05-1981 08:00,10.2,0.0465,40.97952,FALSE
03-06-1981 08:00,21,0.0822,149.14368,FALSE
20-06-1981 08:00,193,0.0379,631.99008,FALSE
22-06-1981 08:00,107,0.0414,382.73472,FALSE
23-06-1981 08:00,93,0.0303,243.46656,FALSE
24-06-1981 08:00,99,0.0636,544.00896,FALSE
05-07-1981 08:00,21.5,0.0081,15.04656,FALSE
17-07-1981 08:00,69,0.0403,240.25248,FALSE
19-07-1981 08:00,42.5,0.0128,47.0016,FALSE
21-07-1981 08:00,50.5,0.0319,139.18608,FALSE
30-07-1981 08:00,204.5,0.0169,298.60272,FALSE
31-07-1981 08:00,143.5,0.0244,302.52096,FALSE
02-08-1981 08:00,78,0.0148,99.74016,FALSE
09-08-1981 08:00,36,0.0184,57.23136,FALSE
15-08-1981 08:00,90,0.032,248.832,FALSE
16-08-1981 08:00,105,0.0329,298.4688,FALSE
21-08-1981 08:00,150,0.0259,335.664,FALSE
23-08-1981 08:00,191,0.0509,839.97216,FALSE
30-08-1981 08:00,62.5,0.0287,154.98,FALSE
06-09-1981 08:00,45,0.0512,199.0656,FALSE
07-09-1981 08:00,43,0.0533,198.02016,FALSE
08-09-1981 08:00,49,0.0836,353.92896,FALSE
10-09-1981 08:00,169.5,0.2185,3199.8888,FALSE
11-09-1981 08:00,164,0.2202,3120.14592,FALSE
13-09-1981 08:00,318,0.2327,6393.47904,FALSE
15-09-1981 08:00,256,0.0628,1389.03552,FALSE
20-09-1981 08:00,391,0.0503,1699.25472,FALSE
21-09-1981 08:00,397,0.0513,1759.63104,FALSE
24-09-1981 08:00,341,0.0425,1252.152,FALSE
25-09-1981 08:00,265,0.0355,812.808,FALSE
26-09-1981 08:00,186.5,0.0435,700.9416,FALSE
27-09-1981 08:00,133,0.0327,375.76224,FALSE
28-09-1981 08:00,103,0.0377,335.49984,FALSE
30-09-1981 08:00,69,0.0379,225.94464,FALSE
01-10-1981 08:00,60,0.0382,198.0288,FALSE
02-10-1981 08:00,52.5,0.036,163.296,FALSE
03-10-1981 08:00,46.5,0.0348,139.81248,FALSE
04-10-1981 08:00,42,0.0221,80.19648,FALSE
08-10-1981 08:00,31,0.0366,98.02944,FALSE
09-10-1981 08:00,29,0.0347,86.94432,FALSE
11-10-1981 08:00,50,0.0852,368.064,FALSE
18-10-1981 08:00,96.5,0.2129,1775.07504,FALSE
25-10-1981 08:00,90.5,0.0369,288.52848,FALSE
26-10-1981 08:00,116,0.0918,920.05632,FALSE
01-11-1981 08:00,104.5,0.0923,833.35824,FALSE
07-11-1981 08:00,89.5,0.1828,1413.55584,FALSE
08-11-1981 08:00,70,0.0336,203.2128,FALSE
11-11-1981 08:00,43,0.0239,88.79328,FALSE
15-11-1981 08:00,35.5,0.0235,72.0792,FALSE
18-11-1981 08:00,63.5,0.0299,164.04336,FALSE
22-11-1981 08:00,24.5,0.0185,39.1608,FALSE
29-11-1981 08:00,20,0.0232,40.0896,FALSE
06-12-1981 08:00,12.6,0.0119,12.954816,FALSE
07-12-1981 08:00,11.9,0.0144,14.805504,FALSE
08-12-1981 08:00,11.1,0.0134,12.851136,FALSE
11-12-1981 08:00,9.3,0.0109,8.758368,FALSE
12-12-1981 08:00,9,0.0114,8.86464,FALSE
13-12-1981 08:00,8.5,0.0109,8.00496,FALSE
14-12-1981 08:00,7.8,0.0108,7.278336,FALSE
16-12-1981 08:00,7.2,0.0094,5.847552,FALSE
17-12-1981 08:00,7.1,0.0149,9.140256,FALSE
18-12-1981 08:00,7.3,0.0072,4.541184,FALSE
19-12-1981 08:00,7,0.0068,4.11264,FALSE
20-12-1981 08:00,9,0.0116,9.02016,FALSE
21-12-1981 08:00,8.2,0.0112,7.934976,FALSE
25-12-1981 08:00,6.3,0.0129,7.021728,FALSE
26-12-1981 08:00,5.9,0.0061,3.109536,FALSE
27-12-1981 08:00,5.7,0.0061,3.004128,FALSE
28-12-1981 08:00,5.3,0.0068,3.113856,FALSE
31-12-1981 08:00,4.2,0.014,5.08032,FALSE
03-01-1982 08:00,3.7,0.0094,3.004992,FALSE
10-01-1982 08:00,2.4,0.0096,1.990656,FALSE
17-01-1982 08:00,1.8,0.0257,3.996864,FALSE
24-01-1982 08:00,1.7,0.0136,1.997568,FALSE
26-01-1982 08:00,1.4,0,0,TRUE
30-01-1982 08:00,1.2,0,0,TRUE
31-01-1982 08:00,1.2,0,0,TRUE
07-02-1982 08:00,1.1,0,0,TRUE
14-02-1982 08:00,0.7,0,0,TRUE
21-02-1982 08:00,0.4,0,0,TRUE
28-02-1982 08:00,0.3,0,0,TRUE
07-03-1982 08:00,0.3,0,0,TRUE
14-03-1982 08:00,0.2,0,0,TRUE
21-03-1982 08:00,0.7,0.0165,0.99792,FALSE
28-03-1982 08:00,2.7,0.0343,8.001504,FALSE
02-04-1982 08:00,2.2,0.0263,4.999104,FALSE
