file_name,Data Available,Qeff_hist,Qeff_analytical,Q_1.5,Q_bankfull,Note (How many data points are missing)
Ambreplayan,01-08-2002 - 2025-03-29,16.47,7.77,27.6,1286.98,28/6499
Arangali,01-06-1980 - 2019-06-26,93.02,60.65,522.83,1889,2059/12365
Ayilam,01-12-1978 - 2023-02-10,696.17,25.49,166.97,974.8,3741/13724
Erinjipuzha,01-06-1988 - 2024-07-30,471.48,80.68,631.96,1388,1451/10330
Kalampur,01-06-1988 - 2023-12-30,70.9,51.69,294.1,805.5,2909/9720
Kallooppara,01-06-1986 - 2023-05-31,151.77,64.12,523.4,888.5,1765/11443
Karathodu,01-06-1989 - 2024-07-15,83.79,70.75,223.7,784.4,3136/8337
Kumbidi,01-06-1980 - 2024-04-30,360.45,135.01,1102,3545,1302/13140
Kuniyil,01-12-1979 - 2024-05-25,349.75,98.98,1176.75,3086,2406/12229
Malakkara,01-06-1986 - 2023-05-31,274.99,148.54,829.19,1988,1727/11037
Neeleswaram,01-06-1972 - 2023-09-30,439.59,254.89,1489.59,6323.55,284/15960
Netravathi,22-06-1972 - 2024-12-03,584.55,551.88,2966,9832,1493/14540
Pattazhy,01-06-1980 - 2023-05-31,60.5,38.19,247.6,2367,365/14044
Prumannu,01-06-1986 - 2024-04-30,1213.23,33.39,1187.54,2600,140/11503
Pulamanthole,01-06-1986 - 2024-05-31,80.97,58.28,450.5,1615.17,757/10850
Ramamanglam,01-02-1979 - 2019-08-26,244.75,171.68,809.9,1909.17,26/13579
Thumpamon,01-06-1980 - 2023-05-31,116.38,36.92,273.1,800,2056/13040
